[2023-06-08 20:54:04,950] INFO 13 Connection with mongo db is established
[2023-06-08 20:54:06,148] INFO 34 Dataframe has been loaded in df variable
[2023-06-08 20:54:06,149] INFO 40 Saving in Mongo is initiated
[2023-06-08 20:54:09,779] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:09,795] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:09,811] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:09,939] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:09,939] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:09,954] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:10,064] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:10,079] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:10,095] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:10,376] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 20:54:10,443] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 20:54:10,488] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 20:54:10,941] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 20:54:10,957] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 20:54:10,957] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 20:54:11,020] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 20:54:11,020] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 20:54:11,036] DEBUG 214 Verifying response
[2023-06-08 20:54:11,036] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 20:54:11,036] DEBUG 214 Verifying response
[2023-06-08 20:54:11,145] DEBUG 159 Responder is issuer
[2023-06-08 20:54:11,145] DEBUG 214 Verifying response
[2023-06-08 20:54:11,445] DEBUG 159 Responder is issuer
[2023-06-08 20:54:11,461] DEBUG 159 Responder is issuer
[2023-06-08 20:54:11,586] DEBUG 271 Caching OCSP response.
[2023-06-08 20:54:11,586] DEBUG 271 Caching OCSP response.
[2023-06-08 20:54:11,586] DEBUG 271 Caching OCSP response.
[2023-06-08 20:54:11,633] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:11,633] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:11,633] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:12,918] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:12,918] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:12,918] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:12,918] DEBUG 238 Using cached OCSP response.
[2023-06-08 20:54:12,918] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:12,949] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:12,949] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:12,949] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:12,949] DEBUG 238 Using cached OCSP response.
[2023-06-08 20:54:12,949] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:13,027] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:13,027] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:13,027] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:13,027] DEBUG 238 Using cached OCSP response.
[2023-06-08 20:54:13,027] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:54:18,879] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 20:54:18,879] DEBUG 335 Requesting OCSP data
[2023-06-08 20:54:18,879] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 20:54:18,879] DEBUG 238 Using cached OCSP response.
[2023-06-08 20:54:18,879] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 20:55:39,027] INFO 44 File is saved in Mongo DB
[2023-06-08 20:55:39,167] INFO 47 gems is uploaded
